o,d,cnt2
9,1,2
9,8,2
9,5,4
10,9,4
3,8,6
8,3,11
2,9,13
9,10,13
10,3,13
5,9,13
8,7,13
3,1,13
4,8,13
9,2,15
7,1,15
7,8,15
8,10,15
8,4,17
4,9,17
10,8,21
3,10,21
9,4,21
10,4,23
9,6,25
6,9,27
4,1,32
3,2,32
1,3,32
4,10,34
1,7,34
1,8,34
2,3,36
3,5,36
8,1,38
7,10,44
2,8,53
5,3,57
1,4,59
10,7,65
5,4,78
8,2,78
5,7,82
4,5,82
7,5,88
6,8,128
6,10,134
8,5,137
5,8,139
8,6,147
10,6,164
3,6,174
6,3,181
3,9,189
9,3,197
4,2,277
6,1,277
2,4,290
1,6,302
9,7,575
7,9,578
6,7,653
7,6,689
2,6,907
6,2,911
5,10,1004
10,5,1019
4,6,1054
6,4,1092
4,3,1187
2,7,1195
3,4,1224
7,2,1325
3,7,1409
7,3,1455
4,7,1655
9,9,1798
7,4,1817
3,3,2241
6,5,2304
5,6,2306
8,8,2356
1,10,3293
10,1,3310
4,4,3318
2,5,3564
5,2,3614
1,5,5055
5,1,5153
10,2,5846
2,1,5928
2,10,5979
1,2,6107
6,6,6199
7,7,8091
1,1,12224
5,5,17661
10,10,21643
2,2,22466
