o,d,cnt2
1,1,25164
1,2,15359
1,3,277
1,4,361
1,5,10670
1,6,1523
1,7,97
1,8,288
1,9,21
1,10,11535
2,1,14708
2,2,34314
2,3,221
2,4,777
2,5,5284
2,6,1726
2,7,1308
2,8,153
2,9,48
2,10,13459
3,1,290
3,2,208
3,3,1947
3,4,1107
3,5,67
3,6,290
3,7,1208
3,8,4
3,9,139
3,10,95
4,1,464
4,2,853
4,3,1111
4,4,3190
4,5,246
4,6,1264
4,7,1420
4,8,23
4,9,27
4,10,313
5,1,10681
5,2,5613
5,3,84
5,4,269
5,5,18992
5,6,3148
5,7,118
5,8,256
5,9,25
5,10,2837
6,1,1436
6,2,1791
6,3,265
6,4,1239
6,5,3043
6,6,6861
6,7,643
6,8,120
6,9,48
6,10,636
7,1,118
7,2,1319
7,3,1237
7,4,1359
7,5,103
7,6,643
7,7,6764
7,8,23
7,9,561
7,10,195
8,1,292
8,2,166
8,3,13
8,4,21
8,5,258
8,6,164
8,7,21
8,8,2465
8,9,2
8,10,97
9,1,13
9,2,63
9,3,149
9,4,17
9,5,11
9,6,36
9,7,622
9,9,2018
9,10,67
10,1,11309
10,2,13591
10,3,118
10,4,307
10,5,2690
10,6,611
10,7,191
10,8,116
10,9,53
10,10,41782
