city_o,x_o,y_o,city_d,x_d,y_d,cov
9.0,108.930793398,32.7558474867,1.0,108.796549128,34.1057933022,2.0
9.0,108.930793398,32.7558474867,8.0,109.570992951,38.0387546915,2.0
9.0,108.930793398,32.7558474867,5.0,109.855716062,34.9480431876,4.0
10.0,109.906097391,33.6459697715,9.0,108.930793398,32.7558474867,4.0
3.0,107.205039,34.3777853636,8.0,109.570992951,38.0387546915,6.0
8.0,109.570992951,38.0387546915,3.0,107.205039,34.3777853636,11.0
4.0,108.394647634,34.784110229,8.0,109.570992951,38.0387546915,13.0
3.0,107.205039,34.3777853636,1.0,108.796549128,34.1057933022,13.0
8.0,109.570992951,38.0387546915,7.0,107.107316007,33.0888459133,13.0
5.0,109.855716062,34.9480431876,9.0,108.930793398,32.7558474867,13.0
10.0,109.906097391,33.6459697715,3.0,107.205039,34.3777853636,13.0
9.0,108.930793398,32.7558474867,10.0,109.906097391,33.6459697715,13.0
2.0,109.03913347,35.1957759051,9.0,108.930793398,32.7558474867,13.0
9.0,108.930793398,32.7558474867,2.0,109.03913347,35.1957759051,15.0
7.0,107.107316007,33.0888459133,1.0,108.796549128,34.1057933022,15.0
7.0,107.107316007,33.0888459133,8.0,109.570992951,38.0387546915,15.0
8.0,109.570992951,38.0387546915,10.0,109.906097391,33.6459697715,15.0
8.0,109.570992951,38.0387546915,4.0,108.394647634,34.784110229,17.0
4.0,108.394647634,34.784110229,9.0,108.930793398,32.7558474867,17.0
3.0,107.205039,34.3777853636,10.0,109.906097391,33.6459697715,21.0
9.0,108.930793398,32.7558474867,4.0,108.394647634,34.784110229,21.0
10.0,109.906097391,33.6459697715,8.0,109.570992951,38.0387546915,21.0
10.0,109.906097391,33.6459697715,4.0,108.394647634,34.784110229,23.0
9.0,108.930793398,32.7558474867,6.0,109.320863339,36.4370784552,25.0
6.0,109.320863339,36.4370784552,9.0,108.930793398,32.7558474867,27.0
4.0,108.394647634,34.784110229,1.0,108.796549128,34.1057933022,32.0
3.0,107.205039,34.3777853636,2.0,109.03913347,35.1957759051,32.0
1.0,108.796549128,34.1057933022,3.0,107.205039,34.3777853636,32.0
1.0,108.796549128,34.1057933022,8.0,109.570992951,38.0387546915,34.0
4.0,108.394647634,34.784110229,10.0,109.906097391,33.6459697715,34.0
1.0,108.796549128,34.1057933022,7.0,107.107316007,33.0888459133,34.0
3.0,107.205039,34.3777853636,5.0,109.855716062,34.9480431876,36.0
2.0,109.03913347,35.1957759051,3.0,107.205039,34.3777853636,36.0
8.0,109.570992951,38.0387546915,1.0,108.796549128,34.1057933022,38.0
7.0,107.107316007,33.0888459133,10.0,109.906097391,33.6459697715,44.0
2.0,109.03913347,35.1957759051,8.0,109.570992951,38.0387546915,53.0
5.0,109.855716062,34.9480431876,3.0,107.205039,34.3777853636,57.0
1.0,108.796549128,34.1057933022,4.0,108.394647634,34.784110229,59.0
10.0,109.906097391,33.6459697715,7.0,107.107316007,33.0888459133,65.0
5.0,109.855716062,34.9480431876,4.0,108.394647634,34.784110229,78.0
8.0,109.570992951,38.0387546915,2.0,109.03913347,35.1957759051,78.0
5.0,109.855716062,34.9480431876,7.0,107.107316007,33.0888459133,82.0
4.0,108.394647634,34.784110229,5.0,109.855716062,34.9480431876,82.0
7.0,107.107316007,33.0888459133,5.0,109.855716062,34.9480431876,88.0
6.0,109.320863339,36.4370784552,8.0,109.570992951,38.0387546915,128.0
6.0,109.320863339,36.4370784552,10.0,109.906097391,33.6459697715,134.0
8.0,109.570992951,38.0387546915,5.0,109.855716062,34.9480431876,137.0
5.0,109.855716062,34.9480431876,8.0,109.570992951,38.0387546915,139.0
8.0,109.570992951,38.0387546915,6.0,109.320863339,36.4370784552,147.0
10.0,109.906097391,33.6459697715,6.0,109.320863339,36.4370784552,164.0
3.0,107.205039,34.3777853636,6.0,109.320863339,36.4370784552,174.0
6.0,109.320863339,36.4370784552,3.0,107.205039,34.3777853636,181.0
3.0,107.205039,34.3777853636,9.0,108.930793398,32.7558474867,189.0
9.0,108.930793398,32.7558474867,3.0,107.205039,34.3777853636,197.0
6.0,109.320863339,36.4370784552,1.0,108.796549128,34.1057933022,277.0
4.0,108.394647634,34.784110229,2.0,109.03913347,35.1957759051,277.0
2.0,109.03913347,35.1957759051,4.0,108.394647634,34.784110229,290.0
1.0,108.796549128,34.1057933022,6.0,109.320863339,36.4370784552,302.0
9.0,108.930793398,32.7558474867,7.0,107.107316007,33.0888459133,575.0
7.0,107.107316007,33.0888459133,9.0,108.930793398,32.7558474867,578.0
6.0,109.320863339,36.4370784552,7.0,107.107316007,33.0888459133,653.0
7.0,107.107316007,33.0888459133,6.0,109.320863339,36.4370784552,689.0
2.0,109.03913347,35.1957759051,6.0,109.320863339,36.4370784552,907.0
6.0,109.320863339,36.4370784552,2.0,109.03913347,35.1957759051,911.0
5.0,109.855716062,34.9480431876,10.0,109.906097391,33.6459697715,1004.0
10.0,109.906097391,33.6459697715,5.0,109.855716062,34.9480431876,1019.0
4.0,108.394647634,34.784110229,6.0,109.320863339,36.4370784552,1054.0
6.0,109.320863339,36.4370784552,4.0,108.394647634,34.784110229,1092.0
