city_o,x_o,y_o,city_d,x_d,y_d,cov
8.0,109.570992951,38.0387546915,9.0,108.930793398,32.7558474867,2.0
3.0,107.205039,34.3777853636,8.0,109.570992951,38.0387546915,4.0
9.0,108.930793398,32.7558474867,5.0,109.855716062,34.9480431876,11.0
9.0,108.930793398,32.7558474867,1.0,108.796549128,34.1057933022,13.0
8.0,109.570992951,38.0387546915,3.0,107.205039,34.3777853636,13.0
9.0,108.930793398,32.7558474867,4.0,108.394647634,34.784110229,17.0
8.0,109.570992951,38.0387546915,7.0,107.107316007,33.0888459133,21.0
8.0,109.570992951,38.0387546915,4.0,108.394647634,34.784110229,21.0
1.0,108.796549128,34.1057933022,9.0,108.930793398,32.7558474867,21.0
7.0,107.107316007,33.0888459133,8.0,109.570992951,38.0387546915,23.0
4.0,108.394647634,34.784110229,8.0,109.570992951,38.0387546915,23.0
5.0,109.855716062,34.9480431876,9.0,108.930793398,32.7558474867,25.0
4.0,108.394647634,34.784110229,9.0,108.930793398,32.7558474867,27.0
9.0,108.930793398,32.7558474867,6.0,109.320863339,36.4370784552,36.0
6.0,109.320863339,36.4370784552,9.0,108.930793398,32.7558474867,48.0
2.0,109.03913347,35.1957759051,9.0,108.930793398,32.7558474867,48.0
10.0,109.906097391,33.6459697715,9.0,108.930793398,32.7558474867,53.0
9.0,108.930793398,32.7558474867,2.0,109.03913347,35.1957759051,63.0
3.0,107.205039,34.3777853636,5.0,109.855716062,34.9480431876,67.0
9.0,108.930793398,32.7558474867,10.0,109.906097391,33.6459697715,67.0
5.0,109.855716062,34.9480431876,3.0,107.205039,34.3777853636,84.0
3.0,107.205039,34.3777853636,10.0,109.906097391,33.6459697715,95.0
8.0,109.570992951,38.0387546915,10.0,109.906097391,33.6459697715,97.0
1.0,108.796549128,34.1057933022,7.0,107.107316007,33.0888459133,97.0
7.0,107.107316007,33.0888459133,5.0,109.855716062,34.9480431876,103.0
10.0,109.906097391,33.6459697715,8.0,109.570992951,38.0387546915,116.0
10.0,109.906097391,33.6459697715,3.0,107.205039,34.3777853636,118.0
5.0,109.855716062,34.9480431876,7.0,107.107316007,33.0888459133,118.0
7.0,107.107316007,33.0888459133,1.0,108.796549128,34.1057933022,118.0
6.0,109.320863339,36.4370784552,8.0,109.570992951,38.0387546915,120.0
3.0,107.205039,34.3777853636,9.0,108.930793398,32.7558474867,139.0
9.0,108.930793398,32.7558474867,3.0,107.205039,34.3777853636,149.0
2.0,109.03913347,35.1957759051,8.0,109.570992951,38.0387546915,153.0
8.0,109.570992951,38.0387546915,6.0,109.320863339,36.4370784552,164.0
8.0,109.570992951,38.0387546915,2.0,109.03913347,35.1957759051,166.0
10.0,109.906097391,33.6459697715,7.0,107.107316007,33.0888459133,191.0
7.0,107.107316007,33.0888459133,10.0,109.906097391,33.6459697715,195.0
3.0,107.205039,34.3777853636,2.0,109.03913347,35.1957759051,208.0
2.0,109.03913347,35.1957759051,3.0,107.205039,34.3777853636,221.0
4.0,108.394647634,34.784110229,5.0,109.855716062,34.9480431876,246.0
5.0,109.855716062,34.9480431876,8.0,109.570992951,38.0387546915,256.0
8.0,109.570992951,38.0387546915,5.0,109.855716062,34.9480431876,258.0
6.0,109.320863339,36.4370784552,3.0,107.205039,34.3777853636,265.0
5.0,109.855716062,34.9480431876,4.0,108.394647634,34.784110229,269.0
1.0,108.796549128,34.1057933022,3.0,107.205039,34.3777853636,277.0
1.0,108.796549128,34.1057933022,8.0,109.570992951,38.0387546915,288.0
3.0,107.205039,34.3777853636,6.0,109.320863339,36.4370784552,290.0
3.0,107.205039,34.3777853636,1.0,108.796549128,34.1057933022,290.0
8.0,109.570992951,38.0387546915,1.0,108.796549128,34.1057933022,292.0
10.0,109.906097391,33.6459697715,4.0,108.394647634,34.784110229,307.0
4.0,108.394647634,34.784110229,10.0,109.906097391,33.6459697715,313.0
1.0,108.796549128,34.1057933022,4.0,108.394647634,34.784110229,361.0
4.0,108.394647634,34.784110229,1.0,108.796549128,34.1057933022,464.0
7.0,107.107316007,33.0888459133,9.0,108.930793398,32.7558474867,561.0
10.0,109.906097391,33.6459697715,6.0,109.320863339,36.4370784552,611.0
9.0,108.930793398,32.7558474867,7.0,107.107316007,33.0888459133,622.0
6.0,109.320863339,36.4370784552,10.0,109.906097391,33.6459697715,636.0
7.0,107.107316007,33.0888459133,6.0,109.320863339,36.4370784552,643.0
6.0,109.320863339,36.4370784552,7.0,107.107316007,33.0888459133,643.0
2.0,109.03913347,35.1957759051,4.0,108.394647634,34.784110229,777.0
4.0,108.394647634,34.784110229,2.0,109.03913347,35.1957759051,853.0
3.0,107.205039,34.3777853636,4.0,108.394647634,34.784110229,1107.0
4.0,108.394647634,34.784110229,3.0,107.205039,34.3777853636,1111.0
3.0,107.205039,34.3777853636,7.0,107.107316007,33.0888459133,1208.0
7.0,107.107316007,33.0888459133,3.0,107.205039,34.3777853636,1237.0
6.0,109.320863339,36.4370784552,4.0,108.394647634,34.784110229,1239.0
4.0,108.394647634,34.784110229,6.0,109.320863339,36.4370784552,1264.0
2.0,109.03913347,35.1957759051,7.0,107.107316007,33.0888459133,1308.0
7.0,107.107316007,33.0888459133,2.0,109.03913347,35.1957759051,1319.0
7.0,107.107316007,33.0888459133,4.0,108.394647634,34.784110229,1359.0
4.0,108.394647634,34.784110229,7.0,107.107316007,33.0888459133,1420.0
6.0,109.320863339,36.4370784552,1.0,108.796549128,34.1057933022,1436.0
1.0,108.796549128,34.1057933022,6.0,109.320863339,36.4370784552,1523.0
2.0,109.03913347,35.1957759051,6.0,109.320863339,36.4370784552,1726.0
6.0,109.320863339,36.4370784552,2.0,109.03913347,35.1957759051,1791.0
10.0,109.906097391,33.6459697715,5.0,109.855716062,34.9480431876,2690.0
5.0,109.855716062,34.9480431876,10.0,109.906097391,33.6459697715,2837.0
6.0,109.320863339,36.4370784552,5.0,109.855716062,34.9480431876,3043.0
5.0,109.855716062,34.9480431876,6.0,109.320863339,36.4370784552,3148.0
2.0,109.03913347,35.1957759051,5.0,109.855716062,34.9480431876,5284.0
5.0,109.855716062,34.9480431876,2.0,109.03913347,35.1957759051,5613.0
1.0,108.796549128,34.1057933022,5.0,109.855716062,34.9480431876,10670.0
5.0,109.855716062,34.9480431876,1.0,108.796549128,34.1057933022,10681.0
10.0,109.906097391,33.6459697715,1.0,108.796549128,34.1057933022,11309.0
1.0,108.796549128,34.1057933022,10.0,109.906097391,33.6459697715,11535.0
2.0,109.03913347,35.1957759051,10.0,109.906097391,33.6459697715,13459.0
10.0,109.906097391,33.6459697715,2.0,109.03913347,35.1957759051,13591.0
2.0,109.03913347,35.1957759051,1.0,108.796549128,34.1057933022,14708.0
1.0,108.796549128,34.1057933022,2.0,109.03913347,35.1957759051,15359.0
